fecha,regulado,total,libre
2019-01-01,2623225.0,6114416.0,3491191.0
2019-02-01,2353357.0,5587455.0,3234098.0
2019-03-01,2647858.0,6106213.0,3458355.0
2019-04-01,2552990.0,5712528.0,3159538.0
2019-05-01,2704160.0,6069605.0,3365444.0
2019-06-01,2573878.0,6005979.0,3432101.0
2019-07-01,2743613.0,6299094.0,3555481.0
2019-08-01,2726129.0,6118728.0,3392599.0
2019-09-01,2617200.0,5663030.0,3045831.0
2019-10-01,2614678.0,5793105.0,3178428.0
2019-11-01,2637576.0,5843875.0,3206299.0
2019-12-01,2773143.0,6237882.0,3464739.0
2020-01-01,2520233.0,6287187.0,3766954.0
2020-02-01,2298160.0,5870115.0,3571955.0
2020-03-01,2381189.0,6239042.0,3857853.0
2020-04-01,2123726.0,5694247.0,3570521.0
2020-05-01,2277183.0,5901962.0,3624779.0
2020-06-01,2485962.0,5900660.0,3414698.0
2020-07-01,2549552.0,6020723.0,3471171.0
2020-08-01,2430585.0,6007444.0,3576859.0
2020-09-01,2190320.0,5699721.0,3509401.0
2020-10-01,2236045.0,5937342.0,3701297.0
2020-11-01,2219322.0,5870212.0,3650890.0
2020-12-01,2414883.0,6353026.0,3938143.0
2021-01-01,2432019.0,6206790.0,3774771.0
2021-02-01,2142127.0,5694597.0,3552470.0
2021-03-01,2390911.0,6420179.0,4029267.0
2021-04-01,2230841.0,5991419.0,3760578.0
2021-05-01,2458680.0,6331647.0,3872968.0
2021-06-01,2557390.0,6235479.0,3678089.0
2021-07-01,2756741.0,6556330.0,3799589.0
2021-08-01,2674438.0,6483142.0,3808704.0
2021-09-01,2358298.0,6015598.0,3657299.0
2021-10-01,2341222.0,6297812.0,3956590.0
2021-11-01,2320805.0,6236272.0,3915467.0
2021-12-01,2530839.0,6620847.0,4090008.0
2022-01-01,2537478.0,6425504.0,3888026.0
2022-02-01,2276598.0,5844982.0,3568383.0
2022-03-01,2481664.0,6557367.0,4075703.0
2022-04-01,2347840.0,6092046.0,3744207.0
2022-05-01,2644521.0,6609515.0,3964995.0
2022-06-01,2813396.0,6586424.0,3773028.0
2022-07-01,2946184.0,6723131.0,3776947.0
2022-08-01,2763744.0,6568213.0,3804469.0
2022-09-01,2448639.0,6179231.0,3730592.0
2022-10-01,2381465.0,6341010.0,3959545.0
2022-11-01,2396583.0,6354547.0,3957964.0
2022-12-01,2624044.0,6777673.0,4153629.0
2023-01-01,2614953.0,6618304.0,4003351.0
2023-02-01,2424583.0,6089655.0,3665072.0
2023-03-01,2607162.0,6745062.0,4137900.0
2023-04-01,2360953.0,6162461.0,3801508.0
2023-05-01,2638138.0,6530997.0,3892859.0
2023-06-01,2717250.0,6558285.0,3841035.0
2023-07-01,2848194.0,6696824.0,3848630.0
2023-08-01,2716307.0,6621381.0,3905074.0
2023-09-01,2519838.0,6372087.0,3852249.0
2023-10-01,2449083.0,6436620.0,3987537.0
2023-11-01,2386418.0,6386584.0,4000166.0
2023-12-01,2529818.0,6734584.0,4204766.0
2024-01-01,2724086.0,6914561.0,4190475.0
2024-02-01,2575551.0,6546040.0,3970488.0
2024-03-01,2569918.0,6803944.0,4234027.0
2024-04-01,2428979.0,6344668.0,3915689.0
2024-05-01,2956476.0,7041262.0,4084786.0
2024-06-01,2853901.0,6787889.0,3933987.0
2024-07-01,2963774.0,6914722.0,3950948.0
2024-08-01,2736528.0,6721667.0,3985140.0
2024-09-01,2387130.0,6304182.0,3917052.0
2024-10-01,2404121.0,6517602.0,4113480.0
2024-11-01,2365080.0,6435230.0,4070149.0
2024-12-01,2561756.0,6937616.0,4375860.0
2025-01-01,2770358.0,6965622.0,4195265.0
2025-02-01,2426494.0,6264420.0,3837926.0
2025-03-01,2530349.0,6866988.0,4336639.0
2025-04-01,2372191.0,6404018.0,4031827.0
2025-05-01,2636440.0,6781269.0,4144829.0
2025-06-01,2847411.0,6842191.0,3994780.0
2025-07-01,2876251.0,6938882.0,4062632.0
2025-08-01,2724647.0,6679863.0,3955215.0
2025-09-01,2408549.0,6274936.0,3866386.0
2025-10-01,2413778.0,6545143.0,4131365.0
2025-11-01,2395864.0,6508107.0,4112242.0
2025-12-01,2623320.0,7008842.0,4385522.0
2026-01-01,2752849.0,6975596.0,4222747.0
2026-02-01,2422912.0,6296603.0,3873691.0
2026-03-01,2550724.0,6938871.0,4388147.0
2026-04-01,2386447.0,6444639.0,4058192.0
2026-05-01,2683368.0,6855056.0,4171688.0
2026-06-01,2816178.0,6989366.0,4173188.0
