"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2026","11,315.26","11,445.90","11,456.30","11,301.01","","-1.14%"
"08/28/2026","11,445.90","11,470.79","11,564.91","11,418.98","","-0.22%"
"08/27/2026","11,470.79","11,369.18","11,470.79","11,369.18","","0.89%"
"08/26/2026","11,369.18","11,450.75","11,467.22","11,328.01","","-0.71%"
"08/25/2026","11,450.75","11,537.98","11,553.71","11,364.35","","-0.76%"
"08/24/2026","11,537.98","11,338.38","11,549.79","11,338.38","","1.76%"
"08/21/2026","11,338.38","11,238.59","11,393.20","11,238.59","","0.89%"
"08/20/2026","11,237.90","11,241.32","11,286.86","11,172.27","","-0.03%"
"08/19/2026","11,241.32","11,186.57","11,296.60","11,186.57","","0.49%"
"08/18/2026","11,186.57","11,147.83","11,199.93","11,101.12","","0.34%"
"08/17/2026","11,148.13","11,040.48","11,148.13","11,035.61","","0.96%"
"08/14/2026","11,042.67","11,000.07","11,089.84","10,998.83","","0.39%"
"08/13/2026","11,000.07","10,982.72","11,023.61","10,916.94","","0.16%"
"08/12/2026","10,982.72","11,128.42","11,236.68","10,958.69","","-1.31%"
"08/11/2026","11,128.56","11,268.81","11,307.85","11,063.95","","-1.25%"
"08/10/2026","11,268.86","11,256.28","11,302.51","11,242.29","","0.11%"
"08/07/2026","11,256.28","11,275.15","11,332.56","11,231.27","","-0.17%"
"08/06/2026","11,275.15","11,157.69","11,342.43","11,149.32","","1.05%"
"08/05/2026","11,157.69","10,996.46","11,178.57","10,996.46","","1.47%"
"08/04/2026","10,996.46","11,049.58","11,097.85","10,995.57","","-0.48%"
"08/03/2026","11,049.58","11,016.85","11,063.24","10,969.79","","0.30%"
