"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.08.2026","418,50","415,20","419,68","407,00","1,69M","0,41%"
"24.08.2026","416,80","412,36","416,80","412,36","2,10M","0,91%"
"21.08.2026","413,05","412,08","418,72","408,50","3,26M","0,99%"
"20.08.2026","409,00","395,78","409,00","393,00","2,27M","2,30%"
"19.08.2026","399,80","403,97","403,98","394,01","1,99M","-1,04%"
"18.08.2026","403,99","402,94","405,00","394,50","2,38M","-0,25%"
"17.08.2026","405,00","399,95","406,40","394,98","1,48M","1,25%"
"14.08.2026","400,00","399,99","401,89","394,97","1,64M","0,00%"
"13.08.2026","399,99","400,00","404,15","395,00","1,36M","0,00%"
"12.08.2026","400,00","400,56","402,25","397,00","1,19M","-0,80%"
"11.08.2026","403,22","407,46","409,99","400,92","894,33K","-1,04%"
"10.08.2026","407,45","397,44","409,99","397,44","4,35M","2,17%"
"07.08.2026","398,80","397,79","399,48","394,99","1,50M","0,75%"
"06.08.2026","395,85","384,66","396,00","384,66","4,29M","2,55%"
"05.08.2026","386,00","380,00","387,98","380,00","3,12M","1,44%"
"04.08.2026","380,51","386,07","387,76","380,51","922,76K","-1,60%"
"03.08.2026","386,70","380,00","387,78","379,50","2,44M","1,23%"
"31.07.2026","382,00","380,08","382,00","378,50","1,04M","0,04%"
"30.07.2026","381,83","381,13","381,90","376,77","2,79M","0,19%"
"29.07.2026","381,10","382,36","383,00","379,47","815,13K","-0,50%"
"28.07.2026","383,00","387,81","387,81","377,56","964,08K","-0,52%"
"27.07.2026","385,00","379,59","394,78","379,59","3,36M","1,03%"
"24.07.2026","381,09","377,38","382,00","377,00","727,26K","1,08%"
"23.07.2026","377,00","384,00","384,00","374,98","1,09M","-1,82%"
"22.07.2026","383,98","379,87","385,90","379,87","1,07M","0,78%"
"21.07.2026","380,99","379,58","385,17","379,05","2,27M","-0,13%"
"20.07.2026","381,48","382,76","382,96","374,01","400,73K","-0,39%"
"17.07.2026","382,96","383,52","383,52","373,46","2,56M","-0,27%"
"15.07.2026","383,99","384,65","384,92","380,62","817,63K","0,68%"
"14.07.2026","381,40","381,75","382,22","379,55","2,32M","-0,94%"
"13.07.2026","385,00","381,41","385,00","379,05","894,19K","0,65%"
