year;mes;regulado;libre_transmision;libre_distribucion;total
2026;1;2.752.849;2.900.098;1.322.649;6.975.596
2026;2;2.422.912;2.640.431;1.233.260;6.296.603
2026;3;2.550.724;3.070.076;1.318.071;6.938.871
2026;4;2.386.447;2.880.539;1.177.653;6.444.639
2026;5;2.683.368;3.033.666;1.138.022;6.855.056
2026;6;2.816.178;3.033.051;1.140.137;6.989.366
2025;1;2.770.358;2.893.711;1.301.554;6.965.622
2025;2;2.426.494;2.653.738;1.184.188;6.264.420
2025;3;2.530.349;3.032.972;1.303.667;6.866.988
2025;4;2.372.191;2.892.140;1.139.687;6.404.018
2025;5;2.636.440;3.030.599;1.114.230;6.781.269
2025;6;2.847.411;2.926.008;1.068.772;6.842.191
2025;7;2.876.251;2.928.407;1.134.225;6.938.882
2025;8;2.724.647;2.843.096;1.112.119;6.679.863
2025;9;2.408.549;2.822.624;1.043.762;6.274.936
2025;10;2.413.778;2.966.640;1.164.725;6.545.143
2025;11;2.395.864;2.817.291;1.294.951;6.508.107
2025;12;2.623.320;2.971.505;1.414.017;7.008.842
2024;1;2.724.086;2.919.374;1.271.101;6.914.561
2024;2;2.575.551;2.750.339;1.220.149;6.546.040
2024;3;2.569.918;2.959.191;1.274.836;6.803.944
2024;4;2.428.979;2.757.297;1.158.392;6.344.668
2024;5;2.956.476;2.969.851;1.114.935;7.041.262
2024;6;2.853.901;2.902.286;1.031.701;6.787.889
2024;7;2.963.774;2.848.689;1.102.259;6.914.722
2024;8;2.736.528;2.922.539;1.062.601;6.721.667
2024;9;2.387.130;2.891.331;1.025.721;6.304.182
2024;10;2.404.121;2.962.977;1.150.503;6.517.602
2024;11;2.365.080;2.893.851;1.176.298;6.435.230
2024;12;2.561.756;3.085.576;1.290.284;6.937.616
2023;1;2.614.953;2.774.263;1.229.088;6.618.304
2023;2;2.424.583;2.505.530;1.159.542;6.089.655
2023;3;2.607.162;2.833.904;1.303.996;6.745.062
2023;4;2.360.953;2.704.862;1.096.646;6.162.461
2023;5;2.638.138;2.803.416;1.089.443;6.530.997
2023;6;2.717.250;2.813.244;1.027.791;6.558.285
2023;7;2.848.194;2.798.494;1.050.136;6.696.824
2023;8;2.716.307;2.856.290;1.048.784;6.621.381
2023;9;2.519.838;2.862.010;990.239;6.372.087
2023;10;2.449.083;2.906.673;1.080.864;6.436.620
2023;11;2.386.418;2.887.615;1.112.551;6.386.584
2023;12;2.529.818;3.003.205;1.201.561;6.734.584
2022;1;2.537.478;2.663.590;1.224.436;6.425.504
2022;2;2.276.598;2.468.587;1.099.796;5.844.982
2022;3;2.481.664;2.776.823;1.298.880;6.557.367
2022;4;2.347.840;2.639.071;1.105.136;6.092.046
2022;5;2.644.521;2.850.755;1.114.240;6.609.515
2022;6;2.813.396;2.709.776;1.063.252;6.586.424
2022;7;2.946.184;2.708.004;1.068.943;6.723.131
2022;8;2.763.744;2.722.126;1.082.343;6.568.213
2022;9;2.448.639;2.719.852;1.010.740;6.179.231
2022;10;2.381.465;2.856.579;1.102.966;6.341.010
2022;11;2.396.583;2.811.797;1.146.167;6.354.547
2022;12;2.624.044;2.897.923;1.255.706;6.777.673
2021;1;2.432.019;2.643.252;1.131.519;6.206.790
2021;2;2.142.127;2.480.461;1.072.009;5.694.597
2021;3;2.390.911;2.818.465;1.210.802;6.420.179
2021;4;2.230.841;2.706.438;1.054.140;5.991.419
2021;5;2.458.680;2.833.060;1.039.908;6.331.647
2021;6;2.557.390;2.698.210;979.879;6.235.479
2021;7;2.756.741;2.770.739;1.028.850;6.556.330
2021;8;2.674.438;2.740.441;1.068.263;6.483.142
2021;9;2.358.298;2.653.817;1.003.482;6.015.598
2021;10;2.341.222;2.855.870;1.100.720;6.297.812
2021;11;2.320.805;2.770.984;1.144.483;6.236.272
2021;12;2.530.839;2.853.497;1.236.511;6.620.847
2020;1;2.520.233;2.679.047;1.087.907;6.287.187
2020;2;2.298.160;2.516.703;1.055.252;5.870.115
2020;3;2.381.189;2.763.109;1.094.744;6.239.042
2020;4;2.123.726;2.673.476;897.045;5.694.247
2020;5;2.277.183;2.750.248;874.531;5.901.962
2020;6;2.485.962;2.597.594;817.104;5.900.660
2020;7;2.549.552;2.631.400;839.771;6.020.723
2020;8;2.430.585;2.705.902;870.957;6.007.444
2020;9;2.190.320;2.648.636;860.765;5.699.721
2020;10;2.236.045;2.745.157;956.140;5.937.342
2020;11;2.219.322;2.649.817;1.001.073;5.870.212
2020;12;2.414.883;2.850.115;1.088.028;6.353.026
2019;1;2.623.225;896.508;2.594.683;6.114.416
2019;2;2.353.357;864.744;2.369.354;5.587.455
2019;3;2.647.858;963.566;2.494.789;6.106.213
2019;4;2.552.990;847.257;2.312.281;5.712.528
2019;5;2.704.160;869.662;2.495.782;6.069.605
2019;6;2.573.878;827.970;2.604.131;6.005.979
2019;7;2.743.613;860.981;2.694.500;6.299.094
2019;8;2.726.129;869.624;2.522.975;6.118.728
2019;9;2.617.200;789.824;2.256.007;5.663.030
2019;10;2.614.678;884.812;2.293.616;5.793.105
2019;11;2.637.576;950.806;2.255.493;5.843.875
2019;12;2.773.143;1.027.243;2.437.496;6.237.882
