Company Name,Ticker,TrailingPER,ForwardPER,EPSGrowth,ROE,PayoutRatio,MarketCap,Sector,Beta,DebtToEquity
3M,MMM,29.465363,16.953934,0.328,0.81891996,0.5364,85553192960.0,Industrials,1.074,437.937
A. O. Smith,AOS,15.86351,13.93678,-0.15,0.27133,0.3955,7739993600.0,Industrials,1.153,36.766
Abbott Laboratories,ABT,33.20712,16.917128,-0.475,0.10576,0.7896,177554636800.0,Healthcare,0.586,63.212
Accenture,ACN,14.480031,12.353157,0.09,0.24406,0.5088,110938972160.0,Technology,1.092,25.035
Adobe Inc.,ADBE,13.898381,8.994958,0.105,0.61902,0.0,98945695744.0,Technology,1.417,57.48
Advanced Micro Devices,AMD,142.81122,35.95345,1.595,0.10196,0.0,913892179968.0,Technology,2.476,6.361
Aflac,AFL,12.549083,15.425436,0.468,0.16908,0.2567,58321264640.0,Financial Services,0.58,53.365
Agilent Technologies,A,30.861933,23.155527,0.085,0.20971,0.1998,44119191552.0,Healthcare,1.241,56.336
Airbnb,ABNB,37.94977,26.866573,0.334,0.34542,0.0,99530153984.0,Consumer Cyclical,1.161,32.004
Akamai Technologies,AKAM,37.869564,14.49193,-0.268,0.08918,0.0,15021259776.0,Technology,0.635,196.672
Align Technology,ALGN,25.582323,11.763112,-0.121,0.10155,0.0,10486193152.0,Healthcare,1.643,2.855
Allegion,ALLE,19.984253,15.579807,0.162,0.3373,0.2782,12949401600.0,Industrials,0.841,104.895
Alliant Energy,LNT,20.761076,17.799925,-0.04,0.11135,0.65980005,17010373632.0,Utilities,0.532,160.951
Allstate,ALL,5.0026035,9.049241,0.612,0.46113998,0.0833,63171502080.0,Financial Services,0.15,22.261
Alphabet Inc. (Class A),GOOGL,17.529589,23.527227,2.94,0.48676,0.042600002,4274851676160.0,Communication Services,1.225,18.859
Alphabet Inc. (Class C),GOOG,17.280983,23.201982,2.94,0.48676,0.042600002,4212111966208.0,Communication Services,1.225,18.859
Amazon,AMZN,20.411102,24.453907,2.423,0.30558002,0.0,2736595664896.0,Consumer Cyclical,1.443,45.617
Ameren,AEE,17.998241,17.57254,0.119,0.11943,0.5141,28301688832.0,Utilities,0.47,157.846
American Electric Power,AEP,20.833332,17.500772,-0.432,0.10130999,0.65510005,65327685632.0,Utilities,0.5,160.789
American Express,AXP,18.893875,15.493029,0.11,0.34377,0.2148,210399526912.0,Financial Services,1.048,172.38
American International Group,AIG,13.74635,8.57337,-0.101,0.0722,0.3376,39389544448.0,Financial Services,0.511,22.466
American Tower,AMT,23.931223,24.81869,1.385,0.33914003,0.9601,81067728896.0,Real Estate,0.895,438.721
American Water Works,AWK,23.593748,20.698006,0.086,0.10095,0.5854,27007268864.0,Utilities,0.58,137.745
Ameriprise Financial,AMP,13.160784,10.535054,0.117,0.63432,0.157,48082419712.0,Financial Services,1.134,67.578
Ametek,AME,34.74269,24.792854,0.142,0.14562,0.1901,54481641472.0,Industrials,0.989,20.522
Amgen,AMGN,23.953415,15.803838,0.649,0.91473,0.6087,208494723072.0,Healthcare,0.426,490.281
Amphenol,APH,38.775,23.687853,0.593,0.38115,0.2288,191235735552.0,Technology,1.242,120.415
Analog Devices,ADI,44.67539,22.98246,1.635,0.12227,0.4964,182060941312.0,Technology,1.205,27.314
Aon plc,AON,16.288706,14.598527,-0.03,0.44699,0.1684,62712766464.0,Financial Services,0.66,163.481
APA Corporation,APA,9.466245,10.218629,0.263,0.26659,0.21100001,15720271872.0,Energy,0.366,48.854
Apollo Global Management,APO,44.80783,11.728105,0.637,0.11412,0.7447,74355294208.0,Financial Services,1.514,100.969
Apple Inc.,AAPL,38.502865,35.057915,0.287,1.4875101,0.1204,4905541566464.0,Technology,1.085,78.445
Applied Materials,AMAT,38.325,24.089682,0.428,0.41068,0.16479999,352809615360.0,Technology,1.597,28.666
AppLovin,APP,23.66052,14.685756,0.57,2.03686,0.0,103489527808.0,Communication Services,2.488,111.13
Aptiv,APTV,19.723982,6.659008,-0.353,0.05158,0.0,9050736640.0,Consumer Cyclical,1.33,64.938
Arch Capital Group,ACGL,7.581377,9.93661,-0.071,0.19936001,0.0,33061689344.0,Financial Services,0.282,17.836
Archer Daniels Midland,ADM,23.273224,14.8526325,3.156,0.07642,0.5628,41053319168.0,Consumer Defensive,0.613,39.134
Ares Management,ARES,56.78899,17.210531,0.065,0.14941,2.2661,41073860608.0,Financial Services,1.517,172.378
Arthur J. Gallagher & Co.,AJG,39.649006,16.082468,-0.107,0.06722,0.44779998,61388537856.0,Financial Services,0.506,59.401
Assurant,AIZ,13.510293,12.04389,0.305,0.18341999,0.16469999,13920647168.0,Financial Services,0.542,36.211
AT&T,T,8.382838,9.905663,0.062,0.18339,0.36630002,174050590720.0,Communication Services,0.431,129.054
Atmos Energy,ATO,19.10608,17.770357,0.233,0.09792,0.46130002,27088867328.0,Utilities,0.594,67.662
Autodesk,ADSK,28.102331,15.278825,0.596,0.53854,0.0,45342547968.0,Technology,1.309,109.518
Automatic Data Processing,ADP,24.791592,20.242655,0.098,0.72239,0.6069,107745607680.0,Technology,0.83,91.436
Avery Dennison,AVY,18.349016,14.992527,0.108,0.3116,0.4179,12710429696.0,Consumer Cyclical,0.814,158.653
Axon Enterprise,AXON,186.56667,42.345898,-0.182,0.06221,0.0,36374867968.0,Industrials,1.399,50.363
Baker Hughes,BKR,18.408361,18.402916,-0.042,0.16463,0.2958,56830590976.0,Energy,0.961,80.925
Ball Corporation,BALL,17.234957,13.299373,0.092,0.17151,0.2292,15921907712.0,Consumer Cyclical,0.951,131.495
Becton Dickinson,BDX,31.250433,13.612198,-0.314,0.06607,0.7249,49285672960.0,Healthcare,0.276,68.84
Berkshire Hathaway,BRK-B,12.817953,22.970331,1.078,0.121199995,0.0,1091269558272.0,Financial Services,0.603,17.142
Best Buy,BBY,15.44925,12.872216,0.701,0.43126,0.63560003,19473215488.0,Consumer Cyclical,1.305,130.097
Biogen,BIIB,38.277084,13.03229,-0.848,0.04575,0.0,31840987136.0,Healthcare,0.171,44.329
BlackRock,BLK,25.629612,16.634682,0.196,0.122779995,0.5243,173813792768.0,Financial Services,1.429,23.192
Blackstone Inc.,BX,28.017937,16.694946,0.573,0.31374002,1.1119,149364408320.0,Financial Services,1.558,68.185
"Block, Inc.",XYZ,136.21428,14.70696,-0.833,0.01612,0.0,45828640768.0,Technology,2.522,32.58
Boston Scientific,BSX,17.546558,12.654458,0.151,0.15338999,0.0,62809608192.0,Healthcare,0.568,50.151
Bristol Myers Squibb,BMY,13.889869,9.605719,1.531,0.46598998,0.5529,128813588480.0,Healthcare,0.227,201.859
Broadcom,AVGO,45.555412,18.448807,2.153,0.44245,0.324,1707097718784.0,Technology,1.457,59.604
Broadridge Financial Solutions,BR,16.992708,14.092307,0.084,0.40916002,0.4063,18600376320.0,Technology,0.91,123.939
Brown & Brown,BRO,20.77316,13.4752,0.071,0.10023,0.2061,21756364800.0,Financial Services,0.582,63.975
Brown–Forman,BF-B,16.735485,15.135513,0.057,0.18122,0.59319997,11902939136.0,Consumer Defensive,0.331,61.502
Bunge Global,BG,24.909483,10.191098,0.33,0.071779996,0.6078,22205128704.0,Consumer Defensive,0.66,97.995
"BXP, Inc.",BXP,33.962364,28.418854,-0.232,0.05308,1.5054,11426026496.0,Real Estate,1.033,211.631
C.H. Robinson,CHRW,29.140953,20.40079,0.238,0.37123,0.479,17877073920.0,Industrials,0.943,121.188
